person,cand_row,book,juan,sentence,source_file,alias_in_sentence
王扶,181,後漢書,第三十一章:刘赵淳于江刘周赵列传,永平中，辟太尉府，显宗素闻其行，诏拜谏议大夫，迁侍中，又迁长乐卫尉。,data/raw/mirror/後漢書/列传/第三十一章-刘赵淳于江刘周赵列传.txt,
王扶,1241,後漢書,39,永平中，辟太尉府，顯宗素聞其行，詔拜諫議大夫，遷侍中，又遷長樂衛尉。,data/raw/後漢書/卷39.txt,
淳于恭,182,後漢書,第三十一章:刘赵淳于江刘周赵列传,引见极日，访以政事，迁侍中骑都尉，礼待甚优。,data/raw/mirror/後漢書/列传/第三十一章-刘赵淳于江刘周赵列传.txt,
郑玄,207,後漢書,第二十七章:张曹郑列传,有顷征，再迁，复为侍中。,data/raw/mirror/後漢書/列传/第二十七章-张曹郑列传.txt,
郑玄,1222,後漢書,35,有頃征，再遷，復為侍中。,data/raw/後漢書/卷35.txt,
步兵校,215,後漢書,第二十九章:桓荣丁鸿列传,永初元年，入授安帝，三迁为侍中步兵校尉。,data/raw/mirror/後漢書/列传/第二十九章-桓荣丁鸿列传.txt,
丁鸿,216,後漢書,第二十九章:桓荣丁鸿列传,顷之，拜侍中。,data/raw/mirror/後漢書/列传/第二十九章-桓荣丁鸿列传.txt,
虞延,218,後漢書,第二十五章:朱冯虞郑周列传,尚显宗女获嘉长公主，少为侍中，以恭肃谦约称，位至将作大匠。,data/raw/mirror/後漢書/列传/第二十五章-朱冯虞郑周列传.txt,
虞延,219,後漢書,第二十五章:朱冯虞郑周列传,定弟石，袭母公主封获嘉侯，亦为侍中，稍迁卫尉。,data/raw/mirror/後漢書/列传/第二十五章-朱冯虞郑周列传.txt,
虞延,1209,後漢書,33,尚顯宗女獲嘉長公主，少為侍中，以恭肅謙約稱，位至將作大匠。,data/raw/後漢書/卷33.txt,
虞延,1210,後漢書,33,定弟石，襲母公主封獲嘉侯，亦為侍中，稍遷衛尉。,data/raw/後漢書/卷33.txt,
孙放,220,後漢書,第二十五章:朱冯虞郑周列传,出为平原相，征拜侍中。,data/raw/mirror/後漢書/列传/第二十五章-朱冯虞郑周列传.txt,
阴识,232,後漢書,第二十四章:樊宏阴识列传,迁侍中，以母忧辞归。,data/raw/mirror/後漢書/列传/第二十四章-樊宏阴识列传.txt,
阴识,233,後漢書,第二十四章:樊宏阴识列传,九年，迁侍中，赐爵关内侯。,data/raw/mirror/後漢書/列传/第二十四章-樊宏阴识列传.txt,
许曼,264,後漢書,第八十章:方术列传下,稍迁侍中。,data/raw/mirror/後漢書/列传/第八十章-方术列传下.txt,
许曼,1380,後漢書,82下,稍遷侍中。,data/raw/後漢書/卷82下.txt,
赵彦,264,後漢書,第八十章:方术列传下,稍迁侍中。,data/raw/mirror/後漢書/列传/第八十章-方术列传下.txt,
赵彦,265,後漢書,第八十章:方术列传下,灵帝时，大将军何进荐扶，征拜侍中，甚见器重。,data/raw/mirror/後漢書/列传/第八十章-方术列传下.txt,
张者,265,後漢書,第八十章:方术列传下,灵帝时，大将军何进荐扶，征拜侍中，甚见器重。,data/raw/mirror/後漢書/列传/第八十章-方术列传下.txt,
张者,1381,後漢書,82下,靈帝時，大將軍何進薦扶，徵拜侍中，甚見器重。,data/raw/後漢書/卷82下.txt,
陈俊,266,後漢書,第八章:吴盖陈臧列传,光武即位，以为侍中、骑都尉。,data/raw/mirror/後漢書/列传/第八章-吴盖陈臧列传.txt,
陈俊,1164,後漢書,18,光武即位，以為侍中、騎都尉。,data/raw/後漢書/卷18.txt,
王考,267,後漢書,第六十一章:党锢列传,又再迁侍中、虎贲中郎将。,data/raw/mirror/後漢書/列传/第六十一章-党锢列传.txt,
王考,1318,後漢書,67,又再遷侍中、虎賁中郎將。,data/raw/後漢書/卷67.txt,
秦周,267,後漢書,第六十一章:党锢列传,又再迁侍中、虎贲中郎将。,data/raw/mirror/後漢書/列传/第六十一章-党锢列传.txt,
秦周,1318,後漢書,67,又再遷侍中、虎賁中郎將。,data/raw/後漢書/卷67.txt,
陈翔,268,後漢書,第六十一章:党锢列传,察孝廉，举高第，三迁侍中。,data/raw/mirror/後漢書/列传/第六十一章-党锢列传.txt,
孔昱,268,後漢書,第六十一章:党锢列传,察孝廉，举高第，三迁侍中。,data/raw/mirror/後漢書/列传/第六十一章-党锢列传.txt,
孔昱,1319,後漢書,67,」）察孝廉，舉高第，三遷侍中。,data/raw/後漢書/卷67.txt,
何进,273,後漢書,第六十三章:窦何列传,光和三年，贵人立为皇后，征进入，拜侍中、将作大匠、河南尹。,data/raw/mirror/後漢書/列传/第六十三章-窦何列传.txt,
朱俊,277,後漢書,第六十五章:皇甫嵩朱俊列传,坚寿亦显名，后为侍中，辞不拜，病卒。,data/raw/mirror/後漢書/列传/第六十五章-皇甫嵩朱俊列传.txt,
吴良,299,後漢書,第十七章:宣张二王杜郭吴承郑赵,十七年，拜侍中祭酒。,data/raw/mirror/後漢書/列传/第十七章-宣张二王杜郭吴承郑赵.txt,
郑均,299,後漢書,第十七章:宣张二王杜郭吴承郑赵,十七年，拜侍中祭酒。,data/raw/mirror/後漢書/列传/第十七章-宣张二王杜郭吴承郑赵.txt,
郑均,300,後漢書,第十七章:宣张二王杜郭吴承郑赵,建和初，四府表荐，征拜议郎，侍讲禁内，再迁为侍中。,data/raw/mirror/後漢書/列传/第十七章-宣张二王杜郭吴承郑赵.txt,
郑均,303,後漢書,第十七章:宣张二王杜郭吴承郑赵,永平十七年，拜侍中祭酒。,data/raw/mirror/後漢書/列传/第十七章-宣张二王杜郭吴承郑赵.txt,
郑均,304,後漢書,第十七章:宣张二王杜郭吴承郑赵,建和初，四府表荐，征拜为议郎，侍讲宫中，再迁为侍中。,data/raw/mirror/後漢書/列传/第十七章-宣张二王杜郭吴承郑赵.txt,
郑均,1193,後漢書,27,十七年，拜侍中祭酒。,data/raw/後漢書/卷27.txt,
